"id","name","price","no_of_units","unit","stock_quantity","is_active","image","description","created_at","updated_at","category_id","slug"
"78","Mango Candy","10.00","10","piece","300","1","mango_candy.jpg","Sweet mango candy","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","5","mango-candy"
"79","Coca-Cola","40.00","330","ml","200","1","coca_cola.jpg","Chilled soda drink","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","6","coca-cola"
"80","Pepsi","40.00","330","ml","180","1","pepsi.jpg","Popular cola drink","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","6","pepsi"
"81","Orange Juice","120.00","1","l","50","1","orange_juice.jpg","Freshly squeezed orange juice","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","6","orange-juice"
"82","Apple Juice","100.00","1","l","40","1","apple_juice.jpg","Fresh apple juice","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","6","apple-juice"
"83","Tea Powder","200.00","250","g","80","1","tea.jpg","Premium tea leaves","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","6","tea-powder"
"84","Coffee Powder","300.00","250","g","50","1","coffee.jpg","Ground coffee","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","6","coffee-powder"
"85","Dish Soap","60.00","500","ml","70","1","dish_soap.jpg","Liquid dishwashing soap","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","7","dish-soap"
"86","Laundry Detergent","250.00","1","kg","50","1","detergent.jpg","Powder detergent","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","7","laundry-detergent"
"87","Floor Cleaner","200.00","1","l","40","1","floor_cleaner.jpg","Multi-surface floor cleaner","2026-02-10 15:28:46.000000","2026-02-10 15:28:46.000000","7","floor-cleaner"
"156","Guava","90.00","1","kg","40","1","guava.jpg","Fresh guavas","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","1","guava"
"157","Kiwi","300.00","500","g","25","1","kiwi.jpg","Organic kiwi fruit","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","1","kiwi"
"158","Blueberry","500.00","250","g","15","1","blueberry.jpg","Fresh blueberries","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","1","blueberry"
"159","Cherry","600.00","250","g","20","1","cherry.jpg","Red cherries","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","1","cherry"
"160","Avocado","250.00","1","piece","30","1","avocado.jpg","Fresh avocados","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","1","avocado"
"161","Mushroom","150.00","500","g","35","1","mushroom.jpg","Fresh mushrooms","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","2","mushroom"
"162","Beetroot","60.00","1","kg","50","1","beetroot.jpg","Organic beetroot","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","2","beetroot"
"163","Ladyfinger","70.00","1","kg","60","1","ladyfinger.jpg","Fresh ladyfinger","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","2","ladyfinger"
"164","Pumpkin","80.00","1","kg","40","1","pumpkin.jpg","Fresh pumpkin","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","2","pumpkin"
"165","Radish","50.00","1","kg","45","1","radish.jpg","Fresh radish","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","2","radish"
"166","Basmati Rice Premium","120.00","1","kg","70","1","basmati_rice.jpg","Aromatic basmati rice","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","3","basmati-rice"
"167","Brown Sugar","70.00","1","kg","50","1","brown_sugar.jpg","Healthy brown sugar","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","3","brown-sugar"
"168","Maida","55.00","1","kg","60","1","maida.jpg","Refined flour","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","3","maida"
"169","Besan","80.00","1","kg","40","1","besan.jpg","Chickpea flour","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","3","besan"
"170","Oats","150.00","500","g","80","1","oats.jpg","Instant oats","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","3","oats"
"171","Mozzarella Cheese","300.00","200","g","40","1","mozzarella.jpg","Italian mozzarella","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","4","mozzarella-cheese"
"172","Eggs","10.00","1","piece","200","1","eggs.jpg","Farm fresh eggs","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","4","eggs"
"173","Sour Cream","120.00","100","g","30","1","sour_cream.jpg","Fresh sour cream","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","4","sour-cream"
"174","Ghee","500.00","500","g","50","1","ghee.jpg","Pure cow ghee","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","4","ghee"
"175","Condensed Milk","180.00","200","g","40","1","condensed_milk.jpg","Sweet condensed milk","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","4","condensed-milk"
"176","Mix Namkeen","120.00","200","g","100","1","mix_namkeen.jpg","Spicy Indian mix","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","5","mix-namkeen"
"177","Peanut Butter","250.00","200","g","50","1","peanut_butter.jpg","Creamy peanut butter","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","5","peanut-butter"
"178","Almonds","800.00","250","g","30","1","almonds.jpg","Roasted almonds","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","5","almonds"
"179","Cashews","900.00","250","g","25","1","cashews.jpg","Premium cashew nuts","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","5","cashews"
"180","Walnuts","950.00","250","g","20","1","walnuts.jpg","Fresh walnuts","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","5","walnuts"
"181","Green Tea","250.00","100","g","50","1","green_tea.jpg","Organic green tea","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","6","green-tea"
"182","Black Tea","200.00","100","g","50","1","black_tea.jpg","Premium black tea","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","6","black-tea"
"183","Instant Coffee","300.00","200","g","60","1","instant_coffee.jpg","Quick coffee","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","6","instant-coffee"
"184","Herbal Tea","180.00","100","g","40","1","herbal_tea.jpg","Herbal tea blend","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","6","herbal-tea"
"185","Energy Drink","150.00","250","ml","70","1","energy_drink2.jpg","Energy booster","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","6","energy-drink-2"
"186","Toilet Cleaner","120.00","500","ml","60","1","toilet_cleaner.jpg","Bathroom cleaning liquid","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","7","toilet-cleaner"
"187","Hand Wash","100.00","500","ml","80","1","hand_wash.jpg","Liquid hand wash","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","7","hand-wash"
"188","Dishwashing Liquid","90.00","500","ml","70","1","dishwashing_liquid.jpg","Lemon dishwashing liquid","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","7","dishwashing-liquid"
"189","Floor Mop","500.00","1","piece","20","1","floor_mop.jpg","Floor cleaning mop","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","7","floor-mop"
"190","Garbage Can","1500.00","1","piece","15","1","garbage_can.jpg","Plastic garbage bin","2026-02-10 15:35:20.000000","2026-02-10 15:35:20.000000","7","garbage-can"
